VVO,: 블라디보스토크(VLADIVOSTOK)
ZRH,: 취리히(ZURICH)
,
▷대양주,
AKL,: 오클랜드(AUCKLAND)
BNE,: 브리즈번(BRISBANE)
CHC,: 크라이스트 처치(CHRISTCHURCH)
CNS,: 케언스(CAIRNS)
SYD,: 시드니(SYDNEY)
NAN,": 난디(FIJI, NANDI)"
,
▷복수공항 코드,
도 시,공항코드 및 공항명
뉴욕(NYC),ㆍJFK: JOHN F KENNEDY  ㆍEWR: NEWARK   ㆍLGA: LA GUARDIA
파리(PAR),ㆍCDG: CHARLES DE GAULLE  ㆍORY: ORLY
런던(LON),ㆍLHR: HEATHROW  ㆍLGW: GATWICK
워싱톤(WAS),ㆍDCA: NATIONAL  ㆍIAD: DULLES
동경(TYO),ㆍNRT: NARITA  ㆍHND: HANEDA
오사카(OSA),ㆍITM: ITAMI  ㆍKIX: KANSAI
에드먼튼(YEG),ㆍYED: NAMOA FIELD  ㆍYEG: INTERNATIONAL  ㆍYXD: MUNICIPAL
베를린(BER),ㆍSXF: SCHOENEFELD EAST DD  ㆍTXL: TEGEL WEST DE
바그다드(BGW),ㆍBGW: AL MUTHANA  ㆍSDA: SADDAN INT'L
시카고(CHI),ㆍMDW: MDIWAY  ㆍORD: O'HARE INT'L
코펜하겐(CPH),ㆍCHP: COPENHAGEN AIRPORT  ㆍRKE: ROSKILDE AIRPORT
디트로이트(DTW),ㆍDET: DETROIT CITY  ㆍDTW: WAYNE COUNTRY
